variable,x,y
current_2.5arcmin_climaticMoistureIndex,-1.1959999978542328,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1912959979057312,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1865919979572297,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.181887998008728,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1771839980602266,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1724799981117249,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1677759981632234,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1630719982147217,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.15836799826622,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1536639983177186,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.148959998369217,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1442559984207155,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1395519984722138,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.134847998523712,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1301439985752106,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.125439998626709,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1207359986782075,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1160319987297058,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1113279987812044,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.1066239988327027,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.101919998884201,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.0972159989356995,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.0925119989871979,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.0878079990386964,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.0831039990901947,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.078399999141693,7.105969416443259E-5
current_2.5arcmin_climaticMoistureIndex,-1.0736959991931916,7.105969416443259E-5
