variable,x,y
wc2.0_bio_2.5m_6,-45.84400100708003,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-45.69270500488277,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-45.5414090026855,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-45.390113000488235,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-45.23881699829097,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-45.0875209960937,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.93622499389644,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.784928991699175,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.633632989501905,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.48233698730464,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.33104098510738,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.17974498291011,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-44.028448980712845,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-43.87715297851558,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-43.72585697631831,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-43.57456097412105,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-43.423264971923786,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-43.271968969726515,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-43.12067296752925,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.96937696533199,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.81808096313472,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.666784960937456,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.51548895874019,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.36419295654292,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.21289695434566,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-42.061600952148396,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-41.910304949951126,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-41.75900894775386,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-41.6077129455566,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-41.45641694335933,3.8602212981686534E-8
wc2.0_bio_2.5m_6,-41.305120941162066,3.8602212981686534E-8
