variable,x,y
current_2.5arcmin_climaticMoistureIndex,-1.1959999978542328,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1912959979057312,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1865919979572297,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.181887998008728,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1771839980602266,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1724799981117249,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1677759981632234,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1630719982147217,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.15836799826622,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1536639983177186,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.148959998369217,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1442559984207155,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1395519984722138,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.134847998523712,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1301439985752106,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.125439998626709,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1207359986782075,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1160319987297058,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1113279987812044,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.1066239988327027,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.101919998884201,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0972159989356995,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0925119989871979,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0878079990386964,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0831039990901947,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.078399999141693,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0736959991931916,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.06899199924469,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0642879992961884,3.2529534621517087E-14
current_2.5arcmin_climaticMoistureIndex,-1.0595839993476868,3.2529534621517087E-14
