variable,x,y
current_2.5arcmin_PETWettestQuarter,-20.18000051975245,1.0
current_2.5arcmin_PETWettestQuarter,-19.67696050796504,1.0
current_2.5arcmin_PETWettestQuarter,-19.173920496177622,1.0
current_2.5arcmin_PETWettestQuarter,-18.67088048439021,1.0
current_2.5arcmin_PETWettestQuarter,-18.167840472602798,1.0
current_2.5arcmin_PETWettestQuarter,-17.664800460815385,1.0
current_2.5arcmin_PETWettestQuarter,-17.16176044902797,1.0
current_2.5arcmin_PETWettestQuarter,-16.658720437240557,1.0
current_2.5arcmin_PETWettestQuarter,-16.155680425453145,1.0
current_2.5arcmin_PETWettestQuarter,-15.652640413665731,1.0
current_2.5arcmin_PETWettestQuarter,-15.149600401878317,1.0
current_2.5arcmin_PETWettestQuarter,-14.646560390090904,1.0
current_2.5arcmin_PETWettestQuarter,-14.143520378303492,1.0
current_2.5arcmin_PETWettestQuarter,-13.640480366516078,1.0
current_2.5arcmin_PETWettestQuarter,-13.137440354728664,1.0
current_2.5arcmin_PETWettestQuarter,-12.634400342941252,1.0
current_2.5arcmin_PETWettestQuarter,-12.131360331153838,1.0
current_2.5arcmin_PETWettestQuarter,-11.628320319366425,1.0
current_2.5arcmin_PETWettestQuarter,-11.125280307579011,1.0
current_2.5arcmin_PETWettestQuarter,-10.622240295791597,1.0
current_2.5arcmin_PETWettestQuarter,-10.119200284004185,1.0
current_2.5arcmin_PETWettestQuarter,-9.616160272216772,1.0
current_2.5arcmin_PETWettestQuarter,-9.113120260429358,1.0
current_2.5arcmin_PETWettestQuarter,-8.610080248641944,1.0
current_2.5arcmin_PETWettestQuarter,-8.107040236854532,1.0
current_2.5arcmin_PETWettestQuarter,-7.60400022506712,1.0
current_2.5arcmin_PETWettestQuarter,-7.100960213279706,1.0
current_2.5arcmin_PETWettestQuarter,-6.5979202014922915,1.0
current_2.5arcmin_PETWettestQuarter,-6.094880189704879,1.0
current_2.5arcmin_PETWettestQuarter,-5.591840177917467,1.0
current_2.5arcmin_PETWettestQuarter,-5.088800166130053,1.0
current_2.5arcmin_PETWettestQuarter,-4.585760154342639,1.0
current_2.5arcmin_PETWettestQuarter,-4.082720142555225,1.0
current_2.5arcmin_PETWettestQuarter,-3.5796801307678123,1.0
current_2.5arcmin_PETWettestQuarter,-3.0766401189804,1.0
current_2.5arcmin_PETWettestQuarter,-2.573600107192984,1.0
current_2.5arcmin_PETWettestQuarter,-2.070560095405572,1.0
current_2.5arcmin_PETWettestQuarter,-1.5675200836181595,1.0
current_2.5arcmin_PETWettestQuarter,-1.0644800718307437,1.0
current_2.5arcmin_PETWettestQuarter,-0.5614400600433314,1.0
current_2.5arcmin_PETWettestQuarter,-0.058400048255919046,1.0
current_2.5arcmin_PETWettestQuarter,0.44463996353149327,1.0
current_2.5arcmin_PETWettestQuarter,0.9476799753189056,1.0
current_2.5arcmin_PETWettestQuarter,1.4507199871063214,1.0
current_2.5arcmin_PETWettestQuarter,1.9537599988937338,1.0
current_2.5arcmin_PETWettestQuarter,2.456800010681146,1.0
current_2.5arcmin_PETWettestQuarter,2.959840022468562,1.0
current_2.5arcmin_PETWettestQuarter,3.4628800342559742,1.0
current_2.5arcmin_PETWettestQuarter,3.9659200460433865,1.0
current_2.5arcmin_PETWettestQuarter,4.468960057830799,1.0
current_2.5arcmin_PETWettestQuarter,4.972000069618211,1.0
current_2.5arcmin_PETWettestQuarter,5.475040081405627,1.0
current_2.5arcmin_PETWettestQuarter,5.978080093193039,1.0
current_2.5arcmin_PETWettestQuarter,6.481120104980452,1.0
current_2.5arcmin_PETWettestQuarter,6.9841601167678675,1.0
current_2.5arcmin_PETWettestQuarter,7.48720012855528,1.0
current_2.5arcmin_PETWettestQuarter,7.990240140342692,1.0
current_2.5arcmin_PETWettestQuarter,8.493280152130104,1.0
current_2.5arcmin_PETWettestQuarter,8.996320163917517,1.0
current_2.5arcmin_PETWettestQuarter,9.499360175704933,1.0
current_2.5arcmin_PETWettestQuarter,10.002400187492345,1.0
current_2.5arcmin_PETWettestQuarter,10.505440199279757,1.0
current_2.5arcmin_PETWettestQuarter,11.008480211067173,1.0
current_2.5arcmin_PETWettestQuarter,11.511520222854585,1.0
current_2.5arcmin_PETWettestQuarter,12.014560234642001,1.0
current_2.5arcmin_PETWettestQuarter,12.517600246429414,1.0
current_2.5arcmin_PETWettestQuarter,13.020640258216826,1.0
current_2.5arcmin_PETWettestQuarter,13.523680270004238,1.0
current_2.5arcmin_PETWettestQuarter,14.02672028179165,1.0
current_2.5arcmin_PETWettestQuarter,14.529760293579063,1.0
current_2.5arcmin_PETWettestQuarter,15.032800305366482,1.0
current_2.5arcmin_PETWettestQuarter,15.535840317153887,1.0
current_2.5arcmin_PETWettestQuarter,16.038880328941307,1.0
current_2.5arcmin_PETWettestQuarter,16.54192034072872,1.0
current_2.5arcmin_PETWettestQuarter,17.04496035251613,1.0
current_2.5arcmin_PETWettestQuarter,17.548000364303544,1.0
current_2.5arcmin_PETWettestQuarter,18.051040376090963,1.0
current_2.5arcmin_PETWettestQuarter,18.55408038787837,1.0
current_2.5arcmin_PETWettestQuarter,19.057120399665788,1.0
current_2.5arcmin_PETWettestQuarter,19.560160411453193,1.0
current_2.5arcmin_PETWettestQuarter,20.063200423240612,1.0
current_2.5arcmin_PETWettestQuarter,20.566240435028025,1.0
current_2.5arcmin_PETWettestQuarter,21.069280446815437,1.0
current_2.5arcmin_PETWettestQuarter,21.57232045860285,1.0
current_2.5arcmin_PETWettestQuarter,22.07536047039026,1.0
current_2.5arcmin_PETWettestQuarter,22.578400482177674,1.0
current_2.5arcmin_PETWettestQuarter,23.081440493965093,1.0
current_2.5arcmin_PETWettestQuarter,23.5844805057525,0.9999999403953552
current_2.5arcmin_PETWettestQuarter,24.087520517539918,0.9999999403953552
current_2.5arcmin_PETWettestQuarter,24.59056052932733,0.9999999403953552
current_2.5arcmin_PETWettestQuarter,25.093600541114743,0.9999999403953552
current_2.5arcmin_PETWettestQuarter,25.596640552902162,0.9999999403953552
current_2.5arcmin_PETWettestQuarter,26.099680564689574,0.9999999403953552
current_2.5arcmin_PETWettestQuarter,26.602720576476987,0.9999998807907104
current_2.5arcmin_PETWettestQuarter,27.1057605882644,0.9999998807907104
current_2.5arcmin_PETWettestQuarter,27.60880060005181,0.9999998211860657
current_2.5arcmin_PETWettestQuarter,28.111840611839224,0.9999998211860657
current_2.5arcmin_PETWettestQuarter,28.614880623626643,0.9999997615814209
current_2.5arcmin_PETWettestQuarter,29.11792063541405,0.9999997615814209
current_2.5arcmin_PETWettestQuarter,29.620960647201468,0.9999997019767761
current_2.5arcmin_PETWettestQuarter,30.124000658988873,0.9999996423721313
current_2.5arcmin_PETWettestQuarter,30.627040670776292,0.9999995827674866
current_2.5arcmin_PETWettestQuarter,31.130080682563705,0.999999463558197
current_2.5arcmin_PETWettestQuarter,31.633120694351117,0.9999994039535522
current_2.5arcmin_PETWettestQuarter,32.136160706138526,0.9999992847442627
current_2.5arcmin_PETWettestQuarter,32.639200717925945,0.9999991059303284
current_2.5arcmin_PETWettestQuarter,33.14224072971335,0.9999989867210388
current_2.5arcmin_PETWettestQuarter,33.64528074150077,0.9999988079071045
current_2.5arcmin_PETWettestQuarter,34.14832075328819,0.9999985694885254
current_2.5arcmin_PETWettestQuarter,34.651360765075594,0.9999983310699463
current_2.5arcmin_PETWettestQuarter,35.154400776863014,0.9999980330467224
current_2.5arcmin_PETWettestQuarter,35.65744078865042,0.9999977350234985
current_2.5arcmin_PETWettestQuarter,36.16048080043784,0.9999973177909851
current_2.5arcmin_PETWettestQuarter,36.66352081222526,0.9999969005584717
current_2.5arcmin_PETWettestQuarter,37.16656082401266,0.9999963641166687
current_2.5arcmin_PETWettestQuarter,37.66960083580008,0.999995768070221
current_2.5arcmin_PETWettestQuarter,38.17264084758749,0.9999950528144836
