variable,x,y
wc2.0_bio_2.5m_5,-12.399200201034542,5.775785757577978E-5
wc2.0_bio_2.5m_5,-12.271635398864742,5.775785757577978E-5
wc2.0_bio_2.5m_5,-12.144070596694943,5.775785757577978E-5
wc2.0_bio_2.5m_5,-12.016505794525143,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.888940992355343,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.761376190185544,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.633811388015744,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.506246585845943,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.378681783676145,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.251116981506344,5.775785757577978E-5
wc2.0_bio_2.5m_5,-11.123552179336546,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.995987377166745,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.868422574996945,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.740857772827145,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.613292970657346,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.485728168487546,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.358163366317747,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.230598564147947,5.775785757577978E-5
wc2.0_bio_2.5m_5,-10.103033761978146,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.975468959808346,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.847904157638547,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.720339355468749,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.592774553298948,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.465209751129148,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.337644948959348,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.210080146789549,5.775785757577978E-5
wc2.0_bio_2.5m_5,-9.082515344619749,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.95495054244995,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.82738574028015,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.69982093811035,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.572256135940549,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.44469133377075,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.317126531600952,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.189561729431151,5.775785757577978E-5
wc2.0_bio_2.5m_5,-8.061996927261351,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.934432125091551,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.806867322921751,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.679302520751952,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.551737718582151,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.424172916412352,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.296608114242552,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.169043312072753,5.775785757577978E-5
wc2.0_bio_2.5m_5,-7.041478509902953,5.8632682339521125E-5
wc2.0_bio_2.5m_5,-6.913913707733154,6.133747228886932E-5
wc2.0_bio_2.5m_5,-6.7863489055633535,6.416703399736434E-5
wc2.0_bio_2.5m_5,-6.658784103393554,6.71271191095002E-5
wc2.0_bio_2.5m_5,-6.5312193012237545,7.022374484222382E-5
wc2.0_bio_2.5m_5,-6.403654499053954,7.346321945078671E-5
