variable,x,y
wc2.0_bio_2.5m_12,-720.0,6.864871693323948E-7
wc2.0_bio_2.5m_12,-702.72,6.864871693323948E-7
wc2.0_bio_2.5m_12,-685.44,6.864871693323948E-7
wc2.0_bio_2.5m_12,-668.16,6.864871693323948E-7
wc2.0_bio_2.5m_12,-650.88,6.864871693323948E-7
wc2.0_bio_2.5m_12,-633.6,6.864871693323948E-7
wc2.0_bio_2.5m_12,-616.3199999999999,6.864871693323948E-7
wc2.0_bio_2.5m_12,-599.04,6.864871693323948E-7
wc2.0_bio_2.5m_12,-581.76,6.864871693323948E-7
wc2.0_bio_2.5m_12,-564.48,6.864871693323948E-7
wc2.0_bio_2.5m_12,-547.2,6.864871693323948E-7
wc2.0_bio_2.5m_12,-529.92,6.864871693323948E-7
wc2.0_bio_2.5m_12,-512.64,6.864871693323948E-7
wc2.0_bio_2.5m_12,-495.36,6.864871693323948E-7
wc2.0_bio_2.5m_12,-478.08000000000004,6.864871693323948E-7
wc2.0_bio_2.5m_12,-460.8,6.864871693323948E-7
wc2.0_bio_2.5m_12,-443.52,6.864871693323948E-7
wc2.0_bio_2.5m_12,-426.24,6.864871693323948E-7
wc2.0_bio_2.5m_12,-408.96,6.864871693323948E-7
wc2.0_bio_2.5m_12,-391.68,6.864871693323948E-7
wc2.0_bio_2.5m_12,-374.4,6.864871693323948E-7
wc2.0_bio_2.5m_12,-357.12,6.864871693323948E-7
wc2.0_bio_2.5m_12,-339.84,6.864871693323948E-7
wc2.0_bio_2.5m_12,-322.56,6.864871693323948E-7
wc2.0_bio_2.5m_12,-305.28,6.864871693323948E-7
wc2.0_bio_2.5m_12,-288.0,6.864871693323948E-7
wc2.0_bio_2.5m_12,-270.72,6.864871693323948E-7
wc2.0_bio_2.5m_12,-253.44,6.864871693323948E-7
wc2.0_bio_2.5m_12,-236.16000000000003,6.864871693323948E-7
wc2.0_bio_2.5m_12,-218.88,6.864871693323948E-7
wc2.0_bio_2.5m_12,-201.60000000000002,6.864871693323948E-7
wc2.0_bio_2.5m_12,-184.32000000000005,6.864871693323948E-7
wc2.0_bio_2.5m_12,-167.03999999999996,6.864871693323948E-7
wc2.0_bio_2.5m_12,-149.76,6.864871693323948E-7
wc2.0_bio_2.5m_12,-132.48000000000002,6.864871693323948E-7
wc2.0_bio_2.5m_12,-115.20000000000005,6.864871693323948E-7
wc2.0_bio_2.5m_12,-97.91999999999996,6.864871693323948E-7
wc2.0_bio_2.5m_12,-80.63999999999999,6.864871693323948E-7
wc2.0_bio_2.5m_12,-63.360000000000014,6.864871693323948E-7
wc2.0_bio_2.5m_12,-46.08000000000004,6.864871693323948E-7
wc2.0_bio_2.5m_12,-28.799999999999955,6.864871693323948E-7
wc2.0_bio_2.5m_12,-11.519999999999982,6.864871693323948E-7
wc2.0_bio_2.5m_12,5.759999999999991,7.430705863953335E-7
wc2.0_bio_2.5m_12,23.039999999999964,9.423733899893705E-7
wc2.0_bio_2.5m_12,40.32000000000005,1.1951321994274622E-6
wc2.0_bio_2.5m_12,57.60000000000002,1.5156846302488702E-6
wc2.0_bio_2.5m_12,74.88,1.9222138689656276E-6
wc2.0_bio_2.5m_12,92.15999999999997,2.4377807221753756E-6
