variable,x,y
wc2.0_bio_2.5m_5,-12.621999883651732,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-12.489759886169432,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-12.357519888687133,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-12.225279891204833,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-12.093039893722533,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.960799896240234,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.828559898757934,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.696319901275634,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.564079903793335,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.431839906311035,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.299599908828736,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.167359911346434,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-11.035119913864136,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.902879916381835,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.770639918899537,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.638399921417236,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.506159923934936,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.373919926452636,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.241679928970337,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-10.109439931488037,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.977199934005737,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.844959936523438,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.712719939041138,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.580479941558838,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.448239944076539,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.31599994659424,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.18375994911194,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-9.05151995162964,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.91927995414734,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.78703995666504,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.654799959182741,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.522559961700441,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.39031996421814,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.258079966735842,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-8.12583996925354,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.993599971771243,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.861359974288942,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.7291199768066425,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.596879979324343,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.464639981842043,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.332399984359744,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.200159986877443,1.3400040188571438E-6
wc2.0_bio_2.5m_5,-7.067919989395144,1.3634174820253975E-6
wc2.0_bio_2.5m_5,-6.935679991912845,1.4361417015607003E-6
wc2.0_bio_2.5m_5,-6.803439994430544,1.512744802312227E-6
wc2.0_bio_2.5m_5,-6.6711999969482445,1.5934341490719817E-6
wc2.0_bio_2.5m_5,-6.538959999465945,1.6784269973868504E-6
